subject,model,mse,mae,r2,eval_mask_ratio,mamba_mse,mamba_mae,mamba_r2
s01,patch_transformer_ae,0.8850829601287842,0.6814868450164795,0.02379077672958374,0.15,0.2229876071214676,0.1375609189271927,0.754054069519043
s02,patch_transformer_ae,0.7447606921195984,0.5675608515739441,0.13763868808746338,0.15,0.4305506646633148,0.19317103922367096,0.5014636516571045
s03,patch_transformer_ae,1.2057833671569824,0.6952750086784363,0.0794568657875061,0.15,0.46818608045578003,0.19140994548797607,0.642568051815033
s04,patch_transformer_ae,1.2305349111557007,0.6865440607070923,0.09091335535049438,0.15,0.3336402475833893,0.148390993475914,0.7535154223442078
s05,patch_transformer_ae,0.9097053408622742,0.6639745831489563,0.09829843044281006,0.15,0.26177483797073364,0.15480858087539673,0.7405283451080322
s06,patch_transformer_ae,1.4802883863449097,0.9043501019477844,0.05816847085952759,0.15,0.38982510566711426,0.18891528248786926,0.7519742846488953
s07,patch_transformer_ae,1.5021482706069946,0.8567482829093933,0.06769979000091553,0.15,0.28479695320129395,0.15083728730678558,0.8232423067092896
s08,patch_transformer_ae,0.9394999146461487,0.6401756405830383,0.035459041595458984,0.15,0.2837759256362915,0.16096580028533936,0.7086604237556458
s09,patch_transformer_ae,0.9664179086685181,0.6884668469429016,0.10125946998596191,0.15,0.272389680147171,0.15419723093509674,0.7466855049133301
s10,patch_transformer_ae,1.21662175655365,0.7214457988739014,0.050784170627593994,0.15,0.43301424384117126,0.19852255284786224,0.6621596217155457
s11,patch_transformer_ae,0.892940104007721,0.640544056892395,0.0717969536781311,0.15,0.39814087748527527,0.18261884152889252,0.5861362218856812
s12,patch_transformer_ae,1.0464789867401123,0.7561628222465515,0.04857349395751953,0.15,0.3106582760810852,0.161121666431427,0.7175590991973877
s13,patch_transformer_ae,0.9730837941169739,0.7256729006767273,0.06729459762573242,0.15,0.4781239628791809,0.20641951262950897,0.5417159795761108
s14,patch_transformer_ae,1.0994172096252441,0.6910622715950012,0.060910165309906006,0.15,0.33952757716178894,0.14312459528446198,0.7099855542182922
s15,patch_transformer_ae,1152687.125,41.53483963012695,-0.07133007049560547,0.15,263709.90625,4.508518695831299,0.7549028396606445
s17,patch_transformer_ae,0.8320626020431519,0.6181464195251465,0.10607975721359253,0.15,0.2715635597705841,0.150855153799057,0.708247721195221
s18,patch_transformer_ae,3782.955810546875,2.7751505374908447,-0.0872340202331543,0.15,1200.095703125,0.4338201582431793,0.655088484287262
s19,patch_transformer_ae,1.0216715335845947,0.713062584400177,0.08609479665756226,0.15,0.4684049189090729,0.2055371105670929,0.5810025930404663
s20,patch_transformer_ae,3541984.75,85.9354248046875,-0.07788419723510742,0.15,0.46445125341415405,0.2103908210992813,0.9999998807907104
s21,patch_transformer_ae,1.044256567955017,0.7159419655799866,0.06087374687194824,0.15,0.18129993975162506,0.11197930574417114,0.8369523882865906
s22,patch_transformer_ae,1.1417747735977173,0.7061238288879395,0.04599541425704956,0.15,0.2391660362482071,0.12808538973331451,0.8001659512519836
s23,patch_transformer_ae,1.565155029296875,0.8828235268592834,-0.05129563808441162,0.15,0.3276912569999695,0.1723528653383255,0.7798937559127808
s25,patch_transformer_ae,0.9270328879356384,0.6158945560455322,0.07319551706314087,0.15,0.22879178822040558,0.11694131046533585,0.7712645530700684
s26,patch_transformer_ae,0.944691002368927,0.6367855668067932,0.11295026540756226,0.15,0.39135631918907166,0.17626908421516418,0.632522702217102
s29,patch_transformer_ae,0.6834730505943298,0.5461501479148865,0.07556021213531494,0.15,0.18820960819721222,0.12161824107170105,0.7454348206520081
s30,patch_transformer_ae,1049476.125,34.20970916748047,-0.09848546981811523,0.15,525371.6875,7.45220947265625,0.4500941038131714
s31,patch_transformer_ae,0.9854284524917603,0.7136601805686951,0.08647048473358154,0.15,0.2562602162361145,0.1538209766149521,0.762437105178833
s32,patch_transformer_ae,58433.5078125,13.6804838180542,-0.09236395359039307,0.15,2915.499755859375,0.4933232069015503,0.9454972743988037
s01,masked_transformer_ae,0.8896927237510681,0.6834296584129333,0.01870638132095337,0.15,0.2229876071214676,0.1375609189271927,0.754054069519043
s02,masked_transformer_ae,0.7500993609428406,0.5702687501907349,0.13145697116851807,0.15,0.4305506646633148,0.19317103922367096,0.5014636516571045
s03,masked_transformer_ae,1.214706301689148,0.6976561546325684,0.07264471054077148,0.15,0.46818608045578003,0.19140994548797607,0.642568051815033
s04,masked_transformer_ae,1.2397459745407104,0.6901509165763855,0.08410847187042236,0.15,0.3336402475833893,0.148390993475914,0.7535154223442078
s05,masked_transformer_ae,0.9152292013168335,0.6661530137062073,0.09282320737838745,0.15,0.26177483797073364,0.15480858087539673,0.7405283451080322
s06,masked_transformer_ae,1.4870599508285522,0.9068023562431335,0.05386006832122803,0.15,0.38982510566711426,0.18891528248786926,0.7519742846488953
s07,masked_transformer_ae,1.5112171173095703,0.8597676157951355,0.06207120418548584,0.15,0.28479695320129395,0.15083728730678558,0.8232423067092896
s08,masked_transformer_ae,0.9463648200035095,0.6423854827880859,0.028411149978637695,0.15,0.2837759256362915,0.16096580028533936,0.7086604237556458
s09,masked_transformer_ae,0.9720273017883301,0.6908378601074219,0.0960429310798645,0.15,0.272389680147171,0.15419723093509674,0.7466855049133301
s10,masked_transformer_ae,1.2251132726669312,0.724515974521637,0.04415905475616455,0.15,0.43301424384117126,0.19852255284786224,0.6621596217155457
s11,masked_transformer_ae,0.8988230228424072,0.6430141925811768,0.06568169593811035,0.15,0.39814087748527527,0.18261884152889252,0.5861362218856812
s12,masked_transformer_ae,1.0516842603683472,0.7588490843772888,0.043841004371643066,0.15,0.3106582760810852,0.161121666431427,0.7175590991973877
s13,masked_transformer_ae,0.9784759879112244,0.7279198169708252,0.062126219272613525,0.15,0.4781239628791809,0.20641951262950897,0.5417159795761108
s14,masked_transformer_ae,1.1061317920684814,0.6928219199180603,0.055174827575683594,0.15,0.33952757716178894,0.14312459528446198,0.7099855542182922
s15,masked_transformer_ae,1150937.5,41.3680534362793,-0.06970393657684326,0.15,263709.90625,4.508518695831299,0.7549028396606445
s17,masked_transformer_ae,0.8382329344749451,0.6208786368370056,0.09945070743560791,0.15,0.2715635597705841,0.150855153799057,0.708247721195221
s18,masked_transformer_ae,3775.56298828125,2.756706953048706,-0.08510935306549072,0.15,1200.095703125,0.4338201582431793,0.655088484287262
s19,masked_transformer_ae,1.028380274772644,0.7163246870040894,0.0800936222076416,0.15,0.4684049189090729,0.2055371105670929,0.5810025930404663
s20,masked_transformer_ae,3543854.5,86.1854476928711,-0.0784531831741333,0.15,0.46445125341415405,0.2103908210992813,0.9999998807907104
s21,masked_transformer_ae,1.049117922782898,0.7179434299468994,0.05650186538696289,0.15,0.18129993975162506,0.11197930574417114,0.8369523882865906
s22,masked_transformer_ae,1.2005027532577515,0.724175214767456,-0.0030744075775146484,0.15,0.2391660362482071,0.12808538973331451,0.8001659512519836
s23,masked_transformer_ae,1.5925792455673218,0.8925105333328247,-0.06971609592437744,0.15,0.3276912569999695,0.1723528653383255,0.7798937559127808
s25,masked_transformer_ae,0.9339486956596375,0.6182510256767273,0.06628137826919556,0.15,0.22879178822040558,0.11694131046533585,0.7712645530700684
s26,masked_transformer_ae,0.9523851275444031,0.6395156979560852,0.10572558641433716,0.15,0.39135631918907166,0.17626908421516418,0.632522702217102
s29,masked_transformer_ae,0.6884958744049072,0.5490455031394958,0.06876659393310547,0.15,0.18820960819721222,0.12161824107170105,0.7454348206520081
s30,masked_transformer_ae,1055115.75,34.84587860107422,-0.10438847541809082,0.15,525371.6875,7.45220947265625,0.4500941038131714
s31,masked_transformer_ae,0.9939135909080505,0.7172558307647705,0.07860445976257324,0.15,0.2562602162361145,0.1538209766149521,0.762437105178833
s32,masked_transformer_ae,58323.71484375,13.657551765441895,-0.09031152725219727,0.15,2915.499755859375,0.4933232069015503,0.9454972743988037
s01,tcn_ae,0.4784943461418152,0.49233654141426086,0.4722409248352051,0.15,0.2229876071214676,0.1375609189271927,0.754054069519043
s02,tcn_ae,0.34786537289619446,0.40695807337760925,0.5972052812576294,0.15,0.4305506646633148,0.19317103922367096,0.5014636516571045
s03,tcn_ae,0.5941994786262512,0.4927443861961365,0.5463643670082092,0.15,0.46818608045578003,0.19140994548797607,0.642568051815033
s04,tcn_ae,0.5734609365463257,0.46752041578292847,0.5763422250747681,0.15,0.3336402475833893,0.148390993475914,0.7535154223442078
s05,tcn_ae,0.4184931516647339,0.4591566324234009,0.5851888656616211,0.15,0.26177483797073364,0.15480858087539673,0.7405283451080322
s06,tcn_ae,0.8197770118713379,0.6630112528800964,0.4784179925918579,0.15,0.38982510566711426,0.18891528248786926,0.7519742846488953
s07,tcn_ae,0.927203893661499,0.6623283624649048,0.424535870552063,0.15,0.28479695320129395,0.15083728730678558,0.8232423067092896
s08,tcn_ae,0.4877862334251404,0.48223066329956055,0.49921250343322754,0.15,0.2837759256362915,0.16096580028533936,0.7086604237556458
s09,tcn_ae,0.48463907837867737,0.47768184542655945,0.5492997765541077,0.15,0.272389680147171,0.15419723093509674,0.7466855049133301
s10,tcn_ae,0.6302357316017151,0.5282003879547119,0.50828617811203,0.15,0.43301424384117126,0.19852255284786224,0.6621596217155457
s11,tcn_ae,0.3636263608932495,0.4077800512313843,0.6220136880874634,0.15,0.39814087748527527,0.18261884152889252,0.5861362218856812
s12,tcn_ae,0.5604310631752014,0.542550265789032,0.49047333002090454,0.15,0.3106582760810852,0.161121666431427,0.7175590991973877
s13,tcn_ae,0.4465090334415436,0.48014816641807556,0.5720189809799194,0.15,0.4781239628791809,0.20641951262950897,0.5417159795761108
s14,tcn_ae,0.5475420355796814,0.5062810182571411,0.5323057174682617,0.15,0.33952757716178894,0.14312459528446198,0.7099855542182922
s15,tcn_ae,1075861.0,18.380643844604492,7.355213165283203e-05,0.15,263709.90625,4.508518695831299,0.7549028396606445
s17,tcn_ae,0.44427353143692017,0.4406731128692627,0.5226980447769165,0.15,0.2715635597705841,0.150855153799057,0.708247721195221
s18,tcn_ae,3474.124267578125,1.4470075368881226,0.00152510404586792,0.15,1200.095703125,0.4338201582431793,0.655088484287262
s19,tcn_ae,0.5433252453804016,0.5244889259338379,0.5139848589897156,0.15,0.4684049189090729,0.2055371105670929,0.5810025930404663
s20,tcn_ae,3285824.25,37.349456787109375,6.973743438720703e-05,0.15,0.46445125341415405,0.2103908210992813,0.9999998807907104
s21,tcn_ae,0.5095508098602295,0.5147472620010376,0.5417481660842896,0.15,0.18129993975162506,0.11197930574417114,0.8369523882865906
s22,tcn_ae,0.5522194504737854,0.46486303210258484,0.5385956764221191,0.15,0.2391660362482071,0.12808538973331451,0.8001659512519836
s23,tcn_ae,0.9237331748008728,0.6755784749984741,0.3795396685600281,0.15,0.3276912569999695,0.1723528653383255,0.7798937559127808
s25,tcn_ae,0.3704942464828491,0.4106736183166504,0.6295970678329468,0.15,0.22879178822040558,0.11694131046533585,0.7712645530700684
s26,tcn_ae,0.4256298840045929,0.4521816670894623,0.6003403663635254,0.15,0.39135631918907166,0.17626908421516418,0.632522702217102
s29,tcn_ae,0.25653076171875,0.35460782051086426,0.6530262231826782,0.15,0.18820960819721222,0.12161824107170105,0.7454348206520081
s30,tcn_ae,955483.1875,13.701571464538574,-0.00010323524475097656,0.15,525371.6875,7.45220947265625,0.4500941038131714
s31,tcn_ae,0.43448397517204285,0.48931244015693665,0.5972169041633606,0.15,0.2562602162361145,0.1538209766149521,0.762437105178833
s32,tcn_ae,53475.00390625,5.89722204208374,0.00033086538314819336,0.15,2915.499755859375,0.4933232069015503,0.9454972743988037
s01,timesnet_ae,0.8744385838508606,0.6821407079696655,0.035531044006347656,0.15,0.2229876071214676,0.1375609189271927,0.754054069519043
s02,timesnet_ae,0.7177960872650146,0.5626569390296936,0.1688610315322876,0.15,0.4305506646633148,0.19317103922367096,0.5014636516571045
s03,timesnet_ae,1.2100563049316406,0.6916537880897522,0.07619470357894897,0.15,0.46818608045578003,0.19140994548797607,0.642568051815033
s04,timesnet_ae,1.2065105438232422,0.6893692016601562,0.108661949634552,0.15,0.3336402475833893,0.148390993475914,0.7535154223442078
s05,timesnet_ae,0.7928898930549622,0.6180750131607056,0.21408617496490479,0.15,0.26177483797073364,0.15480858087539673,0.7405283451080322
s06,timesnet_ae,1.4145442247390747,0.8757732510566711,0.0999981164932251,0.15,0.38982510566711426,0.18891528248786926,0.7519742846488953
s07,timesnet_ae,1.4921741485595703,0.8442102670669556,0.0738900899887085,0.15,0.28479695320129395,0.15083728730678558,0.8232423067092896
